date/time,type,pid,description,quantity,fulfilment,product sales,postage credits,selling fees,fbsp fees,total
31 Jan 2021 20:15:05 UTC,Order,8V-H4OJ-LCEL,Hamlyn All Colour Cookery: 200 Pies & Tarts: Hamlyn All Colour Cookbook,1,Partner,8.47,0,-2.3,-1.76,4.41
31 Jan 2021 20:24:24 UTC,Order,3P-1HP8-6ITX,Nostalgic Delights: Classic Confections & Timeless Treats,1,Partner,14.8,0,-3.26,-2.65,8.89
31 Jan 2021 21:33:59 UTC,Order,KZ-JCBO-HBPN,The Little Book of Wetland Bird Sounds (Sound Books),1,Partner,12.17,0,-2.86,-1.76,7.55
31 Jan 2021 22:15:39 UTC,Order,8V-H4OJ-LCEL,Hamlyn All Colour Cookery: 200 Pies & Tarts: Hamlyn All Colour Cookbook,1,Partner,8.47,0,-2.3,-1.76,4.41
31 Jan 2021 22:27:09 UTC,Order,F1-GG7B-IC6B,The Godless Gospel: Was Jesus A Great Moral Teacher?,1,Partner,9.35,0,-2.43,-2.21,4.71
31 Jan 2021 23:30:19 UTC,Order,IE-O1Q3-ILCQ,First Knits: 20 irresistible hand knits for babies: 20 irresistible knits for babies,1,Partner,9.63,0,-2.47,-2.21,4.95
31 Jan 2021 23:40:52 UTC,Order,3B-956E-38TX,Riis,1,Partner,9.04,0,-2.38,-1.76,4.9
1 Feb 2021 00:00:52 UTC,Order,7Z-S0QM-FG9W,Positive Drinking: Control The Alcohol Before It Controls You,1,Partner,6.13,0,-1.94,-1.76,2.43
1 Feb 2021 10:10:54 UTC,Order,5X-4J4N-QNPI,The Realm Beyond,1,Partner,11.99,0,-2.83,-2.21,6.95
1 Feb 2021 11:26:58 UTC,Order,HR-KWW4-251J,We Sold Our Souls,1,Seller,6.19,2.8,-2.38,0,6.61
1 Feb 2021 12:17:24 UTC,Order,7Y-5102-59WB,Farrow & Ball Recipes for Decorating,1,Partner,15.9,1.5,-3.43,-2.9,9.57
1 Feb 2021 14:02:15 UTC,Order,RW-IYM9-ZAED,Portsmouth in 50 Buildings,1,Partner,12.12,0.64,-2.85,-1.66,7.61
1 Feb 2021 15:21:40 UTC,Order,3P-1HP8-6ITX,Nostalgic Delights: Classic Confections & Timeless Treats,1,Partner,14.8,3.99,-3.26,-5.97,9.56
1 Feb 2021 15:34:26 UTC,Order,8Y-440Z-JUJS,Asian Horror (Kamera Books),1,Partner,5.74,0,-1.88,-1.66,2.2
1 Feb 2021 17:14:41 UTC,Order,SF-6HXL-3G2Y,From Russia with Blood: Putin's Ruthless Killing Campaign and Secret War on the West,1,Partner,7.74,0,-2.18,-2.21,3.35
1 Feb 2021 19:15:29 UTC,Order,YH-F25Y-4KH9,Color Me Jane: A Jane Austen Colouring Book,1,Partner,9.49,0,-2.45,-1.76,5.28
1 Feb 2021 19:24:17 UTC,Order,KZ-JCBO-HBPN,The Little Book of Wetland Bird Sounds (Sound Books),1,Partner,12.17,0,-2.86,-1.76,7.55
1 Feb 2021 20:57:56 UTC,Order,KZ-XB8N-Z46V,We Sold Our Souls,1,Partner,8.99,0,-2.38,-1.76,4.85
1 Feb 2021 21:08:22 UTC,Order,5F-7XAF-E4RN,Girl with a One-Track Mind: Confessions of the Seductress Next Door,1,Partner,6.97,0,-2.07,-1.76,3.14
1 Feb 2021 21:48:43 UTC,Order,EL-CVEU-WVTR,Norwich Through Time,1,Partner,12.12,0,-5.7,-1.76,4.66
1 Feb 2021 21:48:43 UTC,Order,EL-CVEU-WVTR,Norwich Through Time,1,Partner,12.12,0,0,-1.76,10.36
1 Feb 2021 22:06:14 UTC,Order,SF-6HXL-3G2Y,From Russia with Blood: Putin's Ruthless Killing Campaign and Secret War on the West,1,Partner,7.74,0,-2.18,-2.21,3.35
1 Feb 2021 22:24:04 UTC,Order,16-1IDY-KTNJ,Critical Times,1,Partner,7.77,0,-2.19,-5.53,4.04
2 Feb 2021 00:17:07 UTC,Order,FO-77QC-U2LV,Chloe Sims - the Only Way is Up - My Story,1,Partner,3.55,0,-1.18,-1.76,0.61
2 Feb 2021 04:49:44 UTC,Order,16-1IDY-KTNJ,Critical Times,1,Partner,7.78,0,-2.19,-2.21,3.38
2 Feb 2021 09:50:09 UTC,Order,XN-PUTX-HSOH,Disputed Earth: Geology and Trench Warfare on the Western Front 1914-18,1,Partner,7.29,1.5,-2.12,-2.21,2.96
2 Feb 2021 10:12:25 UTC,Order,KJ-YEMT-HKAM,We're the Famous Man United - Old Trafford in the '80s: The Players' Stories,1,Partner,5,0,-1.77,-1.66,1.57
2 Feb 2021 12:29:28 UTC,Order,HR-KWW4-251J,We Sold Our Souls,1,Seller,6.19,2.8,-2.38,0,6.61
2 Feb 2021 12:29:42 UTC,Order,WK-J45D-99JY,"Secret Female Hormone, The: How Testosterone Replacement Can Change Your Life",1,Seller,4.2,2.8,-2.07,0,4.93
2 Feb 2021 12:39:18 UTC,Order,HR-KWW4-251J,We Sold Our Souls,1,Seller,6.19,2.8,-2.38,0,6.61
2 Feb 2021 12:53:28 UTC,Order,8D-EX9R-49LS,Real Roy of the Rovers Stuff!: Roy's True Story,1,Partner,6.25,1.5,-1.96,-1.76,2.53
2 Feb 2021 14:28:03 UTC,Order,VD-Q2BB-BR36,Vengeful,1,Partner,6.8,0,-2.04,-2.21,2.55
2 Feb 2021 16:23:13 UTC,Order,8W-08WK-I0XW,Death of a Polaroid - A Manics Family Album,1,Partner,8.83,1.5,-2.35,-4.14,2.34
2 Feb 2021 19:38:15 UTC,Order,O3-T0NA-M90M,The Prometheans: John Martin and the Generation That Stole the Future,1,Partner,7.48,0,-2.14,-1.76,3.58
2 Feb 2021 19:56:25 UTC,Order,XN-PUTX-HSOH,Disputed Earth: Geology and Trench Warfare on the Western Front 1914-18,1,Partner,7.29,1.5,-2.12,-2.21,2.96
2 Feb 2021 21:32:33 UTC,Order,KI-2ZTG-8F3X,Red Tory: How Left and Right have Broken Britain and How we can Fix It,1,Partner,9.5,0,-2.45,-2.21,4.84
2 Feb 2021 21:57:57 UTC,Order,YH-F25Y-4KH9,Color Me Jane: A Jane Austen Colouring Book,1,Partner,9.49,2,-2.45,-3.43,5.61
2 Feb 2021 22:03:13 UTC,Order,0Y-NBQM-TD5T,The Battle of the Bulge: The Allies' Greatest Conflict on the Western Front,1,Partner,6.95,0,-2.06,-1.76,3.13
2 Feb 2021 22:13:08 UTC,Order,MC-PNJW-I9QF,Different Drummer: The Life of Kenneth MacMillan,1,Partner,8.42,0,-2.29,-2.65,3.48
3 Feb 2021 00:36:24 UTC,Order,FO-77QC-U2LV,Chloe Sims - the Only Way is Up - My Story,1,Partner,3.55,0,-1.18,-1.76,0.61
3 Feb 2021 05:19:22 UTC,Order,VD-Q2BB-BR36,Vengeful,1,Partner,6.8,0.62,-2.04,-2.73,2.65
3 Feb 2021 09:02:50 UTC,Order,F8-EQ27-SKF4,"From Hell Companion, The",1,Seller,4.94,2.8,-2.18,0,5.56
3 Feb 2021 09:03:03 UTC,Order,HR-KWW4-251J,We Sold Our Souls,1,Seller,6.19,2.8,-2.38,0,6.61
3 Feb 2021 12:08:41 UTC,Order,IS-9OGS-UM6C,Life Under Nazi Occupation: The Struggle to Survive During World War II,1,Partner,7.5,0.75,-2.15,-1.76,3.59
3 Feb 2021 12:10:09 UTC,Order,H2-RRQG-NTRS,Romantic English Homes,1,Partner,12.95,0,-2.98,-2.65,7.32
3 Feb 2021 12:20:13 UTC,Order,2I-WUMA-Y7QE,Robert Stewart: Design 1946-95 (Glasgow School of Art),1,Partner,11.94,0,-2.83,-2.65,6.46
3 Feb 2021 12:21:54 UTC,Order,Y3-XH5Y-MERB,Rivals: Newcastle United vs Sunderland - Classic Tyne and Wear Derby Games,1,Partner,6.61,0,-2.01,-1.66,2.94
3 Feb 2021 12:24:43 UTC,Order,TY-P2AJ-0JS9,Sarah Raphael,1,Partner,8.47,0,-2.3,-2.65,3.52
3 Feb 2021 13:35:57 UTC,Order,5M-N9ZH-7LBI,Pitch Black: The Story of Black British Footballers,1,Partner,7.91,0,-2.21,-2.21,3.49
3 Feb 2021 14:07:09 UTC,Order,6M-XIL3-ELE5,"For Richer, For Poorer: Confessions of a Player",1,Seller,2.97,2.8,-1.88,0,3.89
3 Feb 2021 14:19:07 UTC,Order,48-PUPY-05GK,DEMOCRACY NEEDS ARISTOCRACY,1,Partner,8.92,0,-2.36,-1.66,4.9
3 Feb 2021 15:59:20 UTC,Order,F1-GG7B-IC6B,The Godless Gospel: Was Jesus A Great Moral Teacher?,1,Partner,12,0,-2.84,-2.21,6.95
3 Feb 2021 16:09:40 UTC,Order,2P-4E3Q-KENK,A Christmas Wish,1,Partner,4.99,0,-1.25,-2.21,1.53
3 Feb 2021 21:08:17 UTC,Order,B9-86A3-JGN8,Secret Muses: The Life of Frederick Ashton,1,Partner,15.21,0,-3.33,-2.49,9.39
3 Feb 2021 21:18:59 UTC,Order,VD-Q2BB-BR36,Vengeful,1,Partner,6.8,0,-2.04,-2.21,2.55
3 Feb 2021 21:28:18 UTC,Order,VG-R4KE-AX0R,"Jacobs Beach: The Mob, the Garden, and the Golden Age of Boxing",1,Partner,6,0,-1.92,-1.76,2.32
3 Feb 2021 21:30:58 UTC,Order,3K-73XY-R2VD,Red Riding Hood (My Favourite Fairy Tales Board Book),1,Partner,5.17,0,-1.79,-1.76,1.62
3 Feb 2021 22:15:04 UTC,Order,IE-O1Q3-ILCQ,First Knits: 20 irresistible hand knits for babies: 20 irresistible knits for babies,1,Partner,9.63,0,-2.47,-2.21,4.95
3 Feb 2021 22:21:47 UTC,Order,VD-Q2BB-BR36,Vengeful,1,Partner,6.8,0,-2.04,-2.21,2.55
3 Feb 2021 23:08:50 UTC,Order,8V-H4OJ-LCEL,Hamlyn All Colour Cookery: 200 Pies & Tarts: Hamlyn All Colour Cookbook,1,Partner,8.45,3.99,-2.29,-5.08,5.07
3 Feb 2021 23:18:51 UTC,Order,KZ-XB8N-Z46V,We Sold Our Souls,1,Partner,8.99,0,-2.38,-1.76,4.85
4 Feb 2021 01:41:37 UTC,Order,5F-7XAF-E4RN,Girl with a One-Track Mind: Confessions of the Seductress Next Door,1,Partner,6.97,0,-2.07,-1.76,3.14
4 Feb 2021 02:09:11 UTC,Order,F1-GG7B-IC6B,The Godless Gospel: Was Jesus A Great Moral Teacher?,1,Partner,11.65,3.99,-2.78,-5.53,7.33
4 Feb 2021 05:05:48 UTC,Order,VD-Q2BB-BR36,Vengeful,1,Partner,6.8,2.18,-2.04,-4.03,2.91
4 Feb 2021 12:55:44 UTC,Order,VD-Q2BB-BR36,Vengeful,1,Partner,6.8,1.49,-2.04,-2.21,2.55
4 Feb 2021 14:06:49 UTC,Order,KI-2ZTG-8F3X,Red Tory: How Left and Right have Broken Britain and How we can Fix It,1,Partner,9.49,0,-2.45,-2.21,4.83
4 Feb 2021 16:23:35 UTC,Order,1V-WE8Y-ZNE5,Street Art From Around the World,1,Partner,6.99,4,-2.07,-5.09,3.83
4 Feb 2021 16:25:00 UTC,Order,7Y-5102-59WB,Farrow & Ball Recipes for Decorating,1,Partner,15.9,0,-3.43,-2.9,9.57
4 Feb 2021 16:25:32 UTC,Order,KZ-XB8N-Z46V,We Sold Our Souls,1,Partner,8.99,0,-2.38,-1.76,4.85
4 Feb 2021 16:26:13 UTC,Order,27-RTWX-GRDU,The World's Laziest Duck: and other Amazing Records,1,Partner,5.69,0,-1.87,-1.66,2.16
4 Feb 2021 16:37:28 UTC,Order,10-UHAE-6CE8,Hurricane Fly: The Ultimate Hurdler,1,Partner,6.41,0,-1.98,-1.76,2.67
4 Feb 2021 17:10:02 UTC,Order,FO-77QC-U2LV,Chloe Sims - the Only Way is Up - My Story,1,Partner,3.55,0,-1.18,-1.76,0.61
4 Feb 2021 17:22:33 UTC,Order,04-UGMK-IE1W,"For Richer, For Poorer: Confessions of a Player",1,Partner,5.3,0,-1.81,-2.21,1.28
4 Feb 2021 17:36:40 UTC,Order,00-UMZ2-E1R0,Geis 2: A Game Without Rules,1,Partner,7.59,0,-2.16,-2.21,3.22
4 Feb 2021 20:02:14 UTC,Order,F1-GG7B-IC6B,The Godless Gospel: Was Jesus A Great Moral Teacher?,1,Partner,11.64,2.99,-2.78,-2.21,6.65
